id,word,url,scrape_time,status,error
1,sa,https://glosbe.com/yo/en/sa,2025-05-12 14:27:14,success,
2,sahara,https://glosbe.com/yo/en/sahara,2025-05-12 14:22:43,success,
3,saint helena,https://glosbe.com/yo/en/saint%20helena,2025-05-12 14:13:52,success,
4,Saint Vincent àti àwọn Grẹnadínì,https://glosbe.com/yo/en/Saint%20Vincent%20%C3%A0ti%20%C3%A0w%E1%BB%8Dn%20Gr%E1%BA%B9nad%C3%ADn%C3%AC,2025-05-12 14:15:23,success,
5,samarium,https://glosbe.com/yo/en/samarium,2025-05-12 14:20:56,success,
6,san francisco,https://glosbe.com/yo/en/san%20francisco,2025-05-12 14:30:44,success,
7,san màrínò,https://glosbe.com/yo/en/san%20m%C3%A0r%C3%ADn%C3%B2,2025-05-12 14:26:45,success,
8,san-wiiṣi,https://glosbe.com/yo/en/san-wii%E1%B9%A3i,2025-05-12 14:31:07,success,
9,san-wó,https://glosbe.com/yo/en/san-w%C3%B3,2025-05-12 14:25:52,success,
10,Sani Abacha,https://glosbe.com/yo/en/Sani%20Abacha,2025-05-12 14:22:07,success,
11,sanra,https://glosbe.com/yo/en/sanra,2025-05-12 14:16:45,success,
12,sanwó,https://glosbe.com/yo/en/sanw%C3%B3,2025-05-12 14:20:39,success,
13,sanwó orí,https://glosbe.com/yo/en/sanw%C3%B3%20or%C3%AD,2025-05-12 14:13:26,success,
14,Sao Tome ati Prinsipe,https://glosbe.com/yo/en/Sao%20Tome%20ati%20Prinsipe,2025-05-12 14:25:15,success,
15,saxony,https://glosbe.com/yo/en/saxony,2025-05-12 14:13:15,success,
16,scandium,https://glosbe.com/yo/en/scandium,2025-05-12 14:17:10,success,
17,Scandium,https://glosbe.com/yo/en/Scandium,2025-05-12 14:26:09,success,
18,Se,https://glosbe.com/yo/en/Se,2025-05-12 14:19:17,success,
19,Se o lëkõö mi ni (èdè Yorùbá)?,https://glosbe.com/yo/en/Se%20o%20l%C3%ABk%C3%B5%C3%B6%20mi%20ni%20%28%C3%A8d%C3%A8%20Yor%C3%B9b%C3%A1%29%3F,2025-05-12 14:18:50,error,[Errno 22] Invalid argument: './scraped_data\\debug_html\\Se o lëkõö mi ni (èdè Yorùbá)?_debug.html'
20,Seaborgium,https://glosbe.com/yo/en/Seaborgium,2025-05-12 14:24:45,success,
21,selenium,https://glosbe.com/yo/en/selenium,2025-05-12 14:13:19,success,
22,Selenium,https://glosbe.com/yo/en/Selenium,2025-05-12 14:21:01,success,
23,Senegal,https://glosbe.com/yo/en/Senegal,2025-05-12 14:25:20,success,
24,September,https://glosbe.com/yo/en/September,2025-05-12 14:28:33,success,
25,Serbia,https://glosbe.com/yo/en/Serbia,2025-05-12 14:20:19,success,
26,seville,https://glosbe.com/yo/en/seville,2025-05-12 14:15:31,success,
27,Shehu Shagari,https://glosbe.com/yo/en/Shehu%20Shagari,2025-05-12 14:26:23,success,
28,sicily,https://glosbe.com/yo/en/sicily,2025-05-12 14:19:07,success,
29,Sierra Leone,https://glosbe.com/yo/en/Sierra%20Leone,2025-05-12 14:15:57,success,
30,Sikiru Ayinde Barrister,https://glosbe.com/yo/en/Sikiru%20Ayinde%20Barrister,2025-05-12 14:16:25,success,
31,silicon,https://glosbe.com/yo/en/silicon,2025-05-12 14:31:48,success,
32,Silikoni,https://glosbe.com/yo/en/Silikoni,2025-05-12 14:21:51,success,
33,simple network management protocol,https://glosbe.com/yo/en/simple%20network%20management%20protocol,2025-05-12 14:20:03,error,"HTTPSConnectionPool(host='glosbe.com', port=443): Max retries exceeded with url: /yo/en/simple%20network%20management%20protocol (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001AA0884F4D0>: Failed to resolve 'glosbe.com' ([Errno 11001] getaddrinfo failed)""))"
34,sin,https://glosbe.com/yo/en/sin,2025-05-12 14:14:48,success,
35,Singapore,https://glosbe.com/yo/en/Singapore,2025-05-12 14:17:26,success,
36,singapore,https://glosbe.com/yo/en/singapore,2025-05-12 14:31:56,success,
37,Sinwin,https://glosbe.com/yo/en/Sinwin,2025-05-12 14:20:51,success,
38,siẹrra léònè,https://glosbe.com/yo/en/si%E1%BA%B9rra%20l%C3%A9%C3%B2n%C3%A8,2025-05-12 14:17:54,success,
39,Siẹrra Léònè,https://glosbe.com/yo/en/Si%E1%BA%B9rra%20L%C3%A9%C3%B2n%C3%A8,2025-05-12 14:30:28,success,
40,Ska,https://glosbe.com/yo/en/Ska,2025-05-12 14:22:20,success,
41,skopje,https://glosbe.com/yo/en/skopje,2025-05-12 14:29:03,success,
42,SkyDrive,https://glosbe.com/yo/en/SkyDrive,2025-05-12 14:12:36,success,
43,skọ́tlándì,https://glosbe.com/yo/en/sk%E1%BB%8D%CC%81tl%C3%A1nd%C3%AC,2025-05-12 14:21:28,success,
44,slofákíà,https://glosbe.com/yo/en/slof%C3%A1k%C3%AD%C3%A0,2025-05-12 14:27:26,success,
45,sloféníà,https://glosbe.com/yo/en/slof%C3%A9n%C3%AD%C3%A0,2025-05-12 14:31:32,success,
46,Smudge Stick,https://glosbe.com/yo/en/Smudge%20Stick,2025-05-12 14:28:52,success,
47,so,https://glosbe.com/yo/en/so,2025-05-12 14:30:17,success,
48,so mọ́,https://glosbe.com/yo/en/so%20m%E1%BB%8D%CC%81,2025-05-12 14:21:09,success,
49,so pọ̀,https://glosbe.com/yo/en/so%20p%E1%BB%8D%CC%80,2025-05-12 14:16:18,success,
50,socrates,https://glosbe.com/yo/en/socrates,2025-05-12 14:23:18,success,
51,Sodiomu,https://glosbe.com/yo/en/Sodiomu,2025-05-12 14:14:25,success,
52,sodium,https://glosbe.com/yo/en/sodium,2025-05-12 14:30:52,success,
53,sofia,https://glosbe.com/yo/en/sofia,2025-05-12 14:15:45,success,
54,sokoto,https://glosbe.com/yo/en/sokoto,2025-05-12 14:31:00,success,
55,Somalia,https://glosbe.com/yo/en/Somalia,2025-05-12 14:26:28,success,
56,sony,https://glosbe.com/yo/en/sony,2025-05-12 14:22:16,success,
57,sopọ̀,https://glosbe.com/yo/en/sop%E1%BB%8D%CC%80,2025-05-12 14:29:38,error,"('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
58,southeast asia,https://glosbe.com/yo/en/southeast%20asia,2025-05-12 14:25:10,success,
59,sparkline,https://glosbe.com/yo/en/sparkline,2025-05-12 14:15:02,success,
60,Sphalerite,https://glosbe.com/yo/en/Sphalerite,2025-05-12 14:30:07,success,
61,spéìn,https://glosbe.com/yo/en/sp%C3%A9%C3%ACn,2025-05-12 14:23:02,success,
62,Spẹ́ktróskópì,https://glosbe.com/yo/en/Sp%E1%BA%B9%CC%81ktr%C3%B3sk%C3%B3p%C3%AC,2025-05-12 14:30:12,success,
63,Sri Lanka,https://glosbe.com/yo/en/Sri%20Lanka,2025-05-12 14:28:27,success,
64,Steve Biko,https://glosbe.com/yo/en/Steve%20Biko,2025-05-12 14:24:02,success,
65,Stockholm,https://glosbe.com/yo/en/Stockholm,2025-05-12 14:18:10,success,
66,stockholm,https://glosbe.com/yo/en/stockholm,2025-05-12 14:26:56,success,
67,Streptococcal pharyngitis,https://glosbe.com/yo/en/Streptococcal%20pharyngitis,2025-05-12 14:24:30,success,
68,Stretch,https://glosbe.com/yo/en/Stretch,2025-05-12 14:13:32,success,
69,Strontium,https://glosbe.com/yo/en/Strontium,2025-05-12 14:22:49,success,
70,strontium,https://glosbe.com/yo/en/strontium,2025-05-12 14:29:56,success,
71,stuttgart,https://glosbe.com/yo/en/stuttgart,2025-05-12 14:16:52,success,
72,sucre,https://glosbe.com/yo/en/sucre,2025-05-12 14:25:57,success,
73,sudan,https://glosbe.com/yo/en/sudan,2025-05-12 14:14:31,success,
74,Sulfur,https://glosbe.com/yo/en/Sulfur,2025-05-12 14:27:50,success,
75,sulfur,https://glosbe.com/yo/en/sulfur,2025-05-12 14:28:05,success,
76,sunkún,https://glosbe.com/yo/en/sunk%C3%BAn,2025-05-12 14:17:41,success,
77,Swasilandi,https://glosbe.com/yo/en/Swasilandi,2025-05-12 14:18:56,success,
78,swásílándì,https://glosbe.com/yo/en/sw%C3%A1s%C3%ADl%C3%A1nd%C3%AC,2025-05-12 14:27:57,success,
